43,-32229015
43.035,-32197928
43.07,-32361165
43.105,-32094424
43.14,-32221137
43.175,-31510349
43.21,-31858404
43.245,-32342140
43.28,-32322052
43.315,-32307422
43.35,-32594321
43.385,-32201462
43.42,-31992809
43.455,-32211285
43.49,-32016333
43.525,-32351893
43.56,-32396662
43.595,-32099501
43.63,-32264672
43.665,-31985768
43.7,-32310120
43.735,-32012351
43.77,-32313370
43.805,-31689285
43.84,-32021389
43.875,-32450631
43.91,-32237853
43.945,-32191719
43.98,-32235603
44.015,-32272730
44.05,-31781401
44.085,-31871055
44.12,-32088390
44.155,-32053243
44.19,-31846391
44.225,-31690291
44.26,-32291479
44.295,-32187298
44.33,-31947644
44.365,-32311689
44.4,-32278519
44.435,-31659561
44.47,-32188765
44.505,-31969045
44.54,-32223042
44.575,-32227873
44.61,-32015755
44.645,-32132223
44.68,-32201133
44.715,-31863649
44.75,-31837658
44.785,-32108843
44.82,-32325457
44.855,-32199674
44.89,-32033122
44.925,-31763009
44.96,-32024447
44.995,-32335731
45.03,-32148402
45.065,-32394032
45.1,-32157444
45.135,-32101600
45.17,-32439564
45.205,-32060292
45.24,-32157441
45.275,-32220167
45.31,-32249760
45.345,-32367820
45.38,-32278275
45.415,-32013814
45.45,-31550712
45.485,-32239081
45.52,-32361048
45.555,-31986519
45.59,-32223180
45.625,-31656883
45.66,-31765400
45.695,-31845548
45.73,-31907936
45.765,-32118574
45.8,-31861836
45.835,-31710012
45.87,-31913595
45.905,-32454104
45.94,-32014076
45.975,-31689783
46.01,-32255716
46.045,-31870953
46.08,-32079774
46.115,-32092680
46.15,-31684923
46.185,-32177196
46.22,-32238299
46.255,-32116363
46.29,-31924713
46.325,-31967568
46.36,-31765515
46.395,-31939760
46.43,-32302970
46.465,-31970278
46.5,-32121811
46.535,-32071922
46.57,-32313565
46.605,-32121171
46.64,-32023961
46.675,-32134872
46.71,-32247329
46.745,-32259557
46.78,-32419918
46.815,-31648942
46.85,-32239303
46.885,-31953414
46.92,-31593387
46.955,-32261383
46.99,-31969399
47.025,-31800331
47.06,-32079114
47.095,-32108570
47.13,-32301418
47.165,-32065511
47.2,-31915236
47.235,-31796966
47.27,-32056803
47.305,-31930304
47.34,-31419113
47.375,-32126849
47.41,-32112759
47.445,-31972982
47.48,-32011487
47.515,-31948255
47.55,-31923729
47.585,-32098011
47.62,-31863521
47.655,-32075010
47.69,-31995994
47.725,-31757830
47.76,-31953966
47.795,-32032848
47.83,-31711876
47.865,-31907575
47.9,-31733822
47.935,-32084700
47.97,-31878376
48.005,-32107085
48.04,-31998865
48.075,-31890567
48.11,-31841195
48.145,-31816087
48.18,-31686055
48.215,-31844005
48.25,-31690149
48.285,-32065987
48.32,-31813939
48.355,-31683303
48.39,-31753513
48.425,-31884752
48.46,-31665120
48.495,-31769965
48.53,-31760746
48.565,-31681758
48.6,-31928257
48.635,-31613707
48.67,-31919243
48.705,-31402550
48.74,-32094762
48.775,-31150299
48.81,-31787701
48.845,-31556201
48.88,-31526287
48.915,-31791205
48.95,-31389205
48.985,-31571812
49.02,-31257492
49.055,-31817066
49.09,-31700464
49.125,-31372231
49.16,-31335421
49.195,-31519840
49.23,-31733220
49.265,-31322699
49.3,-31656403
49.335,-31398542
49.37,-31375902
49.405,-30994090
