Feret
3.16712
2.91832
3.41485
3.01644
2.99707
2.80643
3.43186
3.74816
4.19708
3.24881
2.71144
2.75142
2.6352
2.868
3.33723
2.94563
2.98002
2.25407
2.79863
1.88473
2.71144
2.7567
2.34275
2.7567
2.61022
4.1605
2.67904
2.59905
3.07618
2.34275
3.86293
2.86038
2.99707
2.69799
3.19458
2.57937
3.18774
2.80643
2.58219
2.98002
3.47402
2.67904
2.48742
2.84762
2.87813
3.41271
2.91832
2.59905
2.79863
2.71144
2.90081
2.64898
3.72674
2.91832
3.11381
2.91832
2.71144
2.91832
2.55669
2.66542
2.82452
1.51184
2.87813
2.25407
2.67087
3.04526
2.69799
3.83456
2.7567
2.67087
2.55669
2.7567
3.64778
2.77775
2.48742
2.60464
2.53668
2.60464
2.84762
2.41315
2.64898
2.55669
2.48742
2.60464
2.34275
2.67087
2.51072
2.65721
2.67904
3.27781
2.8271
2.93821
2.61022
2.6352
3.59956
5.05324
2.47569
3.1371
2.40409
2.25407
2.57937
2.48449
2.46094
2.27656
3.28224
2.65721
2.58219
3.08327
3.40631
2.56522
2.71144
2.61022
2.98002
2.64623
2.21826
3.66966
3.13246
1.20658
2.48449
2.42819
3.07618
3.33723
2.55669
3.68352
2.58219
2.39499
2.44313
2.82452
2.28932
2.57937
4.05596
2.65721
2.67904
2.55669
3.19458
2.48742
3.24881
2.41315
3.21276
2.77775
2.69799
3.07618
3.29552
2.77775
3.36546
2.64623
2.58219
3.16712
2.39499
3.33723
3.01644
3.31315
2.77775
2.51072
3.15791
2.71144
3.07618
2.6352
2.67904
2.15839
2.90081
2.61022
3.19458
4.0181
4.32015
3.33723
2.71144
3.64778
2.84762
2.94563
2.56522
2.53668
2.91832
1.2597
3.24657
3.01644
3.08327
2.31776
3.50738
3.24881
3.35246
3.74233
2.8142
2.51941
2.67904
2.92081
3.14637
3.47402
3.24881
2.48742
2.41315
2.82452
1.72756
3.61973
2.77775
3.45511
2.93821
2.95796
2.48742
3.05242
3.13246
2.6352
2.59063
2.71144
3.24881
2.75406
2.71144
2.868
2.22482
3.83456
3.1371
3.23759
2.98002
2.81678
3.4803
2.82452
2.7355
2.81678
1.37571
2.77775
3.02367
2.868
2.53668
2.868
3.09034
2.92081
2.7567
2.57937
3.57318
3.11381
2.59905
2.90582
2.91832
2.98491
2.77775
3.13013
2.96779
3.16712
2.75142
3.38057
2.90582
2.75142
2.66542
2.31776
3.1371
3.23759
2.61022
2.58219
2.99707
2.83994
2.94563
2.33029
2.82452
2.64623
2.77775
2.3209
3.39989
2.71144
1.96416
2.24436
3.17401
3.18774
4.26419
2.87813
2.82452
2.21826
3.05242
2.95796
2.71144
3.04526
2.71144
2.64623
2.54528
3.62174
3.56298
2.55954
2.93821
3.14637
2.27656
2.87813
2.51072
2.77775
3.31973
1.29952
1.88473
1.24225
2.8142
3.45511
3.23759
2.93821
4.04698
2.7567
3.6637
6.19128
3.59956
3.33723
2.94563
3.1021
3.74816
3.24881
4.14648
2.87813
3.33723
3.62174
2.98002
2.98491
3.43398
2.7567
3.07618
3.29552
3.13246
3.08327
2.83994
3.35463
3.20595
2.84762
3.18774
2.46094
